Ngay,Lo_1_San_Luong,Lo_1_Bot_Song,Lo_1_MNBS1_chuyen_qua_MNBS2,Lo_1_Than,Lo_1_Chat_Dot,Lo_1_Carbon,Lo_2_San_Luong,Lo_2_Bot_Song,Lo_2_Than,Lo_2_Chat_Dot,Lo_2_Carbon,Ton_Kho_Bot_Song,Ton_Kho_Than,Ton_Kho_Chat_Dot,Ton_Kho_Carbon
3/12/2021,3040,4805,0,426.47,0,0,4405,6827,518.21,0,0,10907,29731.74074,0,0
3/13/2021,3036,4799,0,427.57,0,0,4352,6745,512.33,0,0,11094,28791.84074,0,0
3/14/2021,3043,4810,0,439.44,0,0,4358,6754,512.84,0,0,11283,27839.56074,0,0
3/15/2021,3045,4813,0,438.66,0,0,4355,6749,513.19,0,0,11435,27787.71074,0,0
3/16/2021,3040,4465,340,436.91,0,0,4110,6369,522.31,0,0,11962,29378.49074,0,0
3/17/2021,3042,4608,200,438.23,0,0,4005,6207,470.99,0,0,10217,28469.27074,0,0
3/18/2021,3038,4802,0,437.29,0,0,705,1093,83.94,0,0,10271,28898.04074,0,0
3/19/2021,3041,4807,0,437.2,0,0,0,0,0,0,0,10167,28460.84074,0,0
3/20/2021,3045,4813,0,437.2,0,0,0,0,0,0,0,9569,28876.25074,0,0
3/21/2021,3052,4824,0,439.2,0,0,1556,2411,223.34,0,0,9008,28213.71074,0,0
3/22/2021,3050,4441,380,438.3832735,0,0,4002,6202,508.08,0,0,8897,29917.24746,0,0
3/23/2021,3048,4418,400,437.09,0,0,4105,6362,532.25,0,0,9290,30197.90424,0,0
3/24/2021,3044,4552,260,437.36,0,0,4151,6433,527.03,0,0,9485,30483.51424,0,0
3/25/2021,3042,4328,480,435.82,0,0,4175,6470,527.54,0,0,10009,30770.15424,0,0
3/26/2021,3044,4812,0,437.14,0,0,4185,6486,527.01,0,0,8368,28556.00424,0,0
3/27/2021,3038,4522,280,435.14,0,0,4204,6515,531.4433132,0,0,8690,28639.42092,0,0
3/28/2021,3036,4339,460,432.32,0,0,4214,6531,532.51,0,0,9251,29774.59092,0,0
3/29/2021,3038,4402,400,436.29,0,0,4223,6545,537.12,0,0,9777,30601.18092,0,0
3/30/2021,3005,4370,380,396.22,0,0,4302,6667,547.83,0,0,9928,31207.13092,0,0
3/31/2021,3020,4314,460,400.2348474,0,0,4304,6670,549.1,0,0,10520,23296.47298,0,0
4/1/2021,3032,4553,240,401.9449029,0,0,4307,6675,553.21,0,0,10868,32442.26808,0,0
4/2/2021,3002,4385,360,400.6131322,0,0,4303,6669,552.1482103,0,0,11350,32489.50674,0,0
4/3/2021,3010,4413,345,432.96,0,0,4308,6676,553.05,0,0,11757,32003.49674,0,0
4/4/2021,3012,4476,285,433.79,0,0,4314,6686,554.71,0,0,12178,31964.99674,0,0
4/5/2021,3022,4552,225,435.6685948,0,0,4324,6701,555.92,0,0,12505,31923.40814,0,0
4/6/2021,3026,4783,0,437.8499527,0,0,4331,6712,557.66,0,0,12682,31327.89819,0,0
4/7/2021,3030,4790,0,405.4739111,0,0,4338,6723,552.98,0,0,12774,30369.44428,0,0
4/8/2021,3032,4793,0,419.158448,0,0,4342,6729,541.6292271,0,0,12845,31258.65661,0,0
4/9/2021,3038,4802,0,420.02,0,0,4352,6745,535.14,0,0,11198,32353.49661,0,0
4/10/2021,3035,4797,0,419.92,0,0,4354,6748,534.58,0,0,11369,33198.99661,0,0
4/11/2021,3037,4801,0,418.98,0,0,4358,6754,533.88,0,0,11546,33046.13661,0,0
4/12/2021,1240,1960,0,132.6396892,0,0,2781,4310,440.0372122,0,0,9586,34723.4597,0,0
4/13/2021,3001,4744,0,417.96,0,0,4326,6704,535.7,0,0,8960,33769.7997,0,0
4/14/2021,3009,4756,0,418.1,0,0,4320,6695,534.82,0,0,9133,34066.8797,0,0
4/15/2021,3058,4834,0,425.07,0,0,4376,6782,539.57,0,0,17515,34052.2397,0,0
4/16/2021,3064,4843,0,425.38,0,0,4401,6820,543.93,0,0,17710,34132.9297,0,0
4/17/2021,3068,4850,0,428.18,0,0,4403,6824,541.55,0,0,17608,33163.1997,0,0
4/18/2021,3066,4846,0,428.35,0,0,4405,6827,544.6,0,0,18884,33390.2497,0,0
4/19/2021,3062,4840,0,423.3227417,0,0,4385,6796,539.0067711,0,0,17760,33677.92019,0,0
4/20/2021,3064,4843,0,425.15,0,0,4340,6726,535.77,0,0,16206,35167.00019,0,0
4/21/2021,3066,4846,0,425.9,0,0,4305,6672,532.05,0,0,17639,35159.05019,0,0
4/22/2021,3069,4851,0,427.45,0,0,4307,6675,532.8,0,0,17411,36521.1174,0,0
4/23/2021,3067,4848,0,427.38,0,0,4305,6672,531.71,0,0,18696,36362.0274,0,0
4/24/2021,3064,4843,0,425.07,0,0,4282,6636,525.2,0,0,18814,36711.7574,0,0
4/25/2021,3068,4850,0,426.18,0,0,4307,6675,530.64,0,0,18480,37754.9374,0,0
4/26/2021,3061,4839,0,426.1,0,0,4301,6665,511.18,0,0,17526,37867.6574,0,0
4/27/2021,3065,4845,0,429.1,0,0,4303,6669,497.48,0,0,17613,36941.0774,0,0
4/28/2021,3067,4848,0,427.48,0,0,4210,6524,480.34,0,0,19085,37083.2574,0,0
4/29/2021,3069,4851,0,428.49,0,0,4205,6517,491.6,0,0,15649,26090.599,0,0
5/1/2021,3060,4837,0,426.6,0,0,4307,6675,528.46,0,0,17106,25135.539,0,0
5/2/2021,3052,4824,0,424.83,0,0,4310,6679,536.6,0,0,16809,36463.789,0,0
5/3/2021,3045,4813,0,424.22,0,0,4312,6683,513.4685567,0,0,16233,36476.10044,0,0
5/4/2021,3042,4808,0,426.37,0,0,4308,6676,494.01,0,0,17667,36505.72044,0,0
5/5/2021,3040,4805,0,430.14,0,0,4304,6670,485.41,0,0,17208,36768.649,0,0
5/6/2021,3034,4796,0,426.92,0,0,4301,6665,482.87,0,0,15141,36358.859,0,0
5/7/2021,3032,4793,0,426.5746335,0,0,4304,6670,485.9207173,0,0,10989,36629.00365,0,0
5/8/2021,3038,4802,0,425.77,0,0,4302,6667,466.27,0,0,12311,36686.96365,0,0
5/9/2021,3035,4797,0,425.76,0,0,4304,6670,457.76,0,0,13643,36603.44365,0,0
5/10/2021,3037,4801,0,426.09,0,0,4301,6665,463.11,0,0,12655,35715.88365,0,0
5/11/2021,3032,4493,300,427.5398585,0,0,4304,6670,473.2953208,0,0,13718,34815.04847,0,0
5/12/2021,3035,4797,0,428.3966913,0,0,4302,6667,468.2135134,0,0,13389,33918.43827,0,0
5/13/2021,3031,4791,0,426.942633,0,0,4305,6672,469.6711917,0,0,10319,33021.82444,0,0
5/14/2021,3035,4797,0,427.2893879,0,0,4301,6665,475.3804918,0,0,11321,32119.15456,0,0
5/15/2021,3039,4804,0,428.4,0,0,4304,6670,483.0521557,0,0,10432,31207.70241,0,0
5/16/2021,3035,4797,0,427.1720126,0,0,4302,6667,467.38,0,0,11826,30313.15039,0,0
5/17/2021,1030,1628,0,145.47,0,0,4304,6670,471.82,0,0,11556,29704.15039,0,0
5/18/2021,1100,1739,0,105.32,0,0,4330,6710,511.84,0,0,11105,29086.99039,0,0
5/19/2021,3010,4758,0,432.06,0,0,4390,6803,516.65,0,0,11924,28138.28039,0,0
5/20/2021,3037,4801,0,430.95,0,0,4382,6791,515.31,0,0,13304,27192.02039,0,0
5/21/2021,3032,4793,0,429.8,0,0,4385,6796,518.77,0,0,11250,26243.45039,0,0
5/22/2021,3035,4797,0,420.02,0,0,4352,6745,515.55,0,0,12603,25289.92039,0,0
5/23/2021,3044,4812,0,420.91,0,0,4382,6791,518.75,0,0,13973,24350.26039,0,0
5/24/2021,3034,4796,0,434.24,0,0,4301,6665,468.43,0,0,15529,23447.59039,0,0
5/25/2021,3031,4311,480,428.91,0,0,4302,6667,469.17,0,0,17113,22549.51039,0,0
5/26/2021,3030,4310,480,425.96,0,0,4303,6669,471.81,0,0,18696,21651.74039,0,0
5/27/2021,3033,4314,480,426.1,0,0,4301,6665,479.68,0,0,20265,20745.96039,0,0
5/28/2021,3030,4670,120,416.33,0,0,4303,6669,509.4,0,0,15832,19820.23039,0,0
5/29/2021,3032,4313,480,413.7578635,0,0,4205,6517,505.3584792,0,0,17528,19046.40405,0,0
5/30/2021,3034,4316,480,414.6331946,0,0,4202,6512,507.337238,0,0,19159,18124.43362,0,0
5/31/2021,3031,4311,480,413.51,0,0,4270,6617,513.44,0,0,20616,17197.48362,0,0
6/1/2021,3033,4434,360,419.7769001,0,0,4280,6633,521.8649797,0,0,20163,16295.06843,0,0
6/2/2021,3025,4302,480,425.27,0,0,4302,6667,532.82,0,0,21531,16336.97843,0,0
6/3/2021,3024,4300,480,426.1983369,0,0,4306,6673,534.3222808,0,0,21445,16476.45781,0,0
6/4/2021,3028,4566,220,425.6272779,0,0,4304,6670,533.0772367,0,0,18681,16567.7533,0,0
6/5/2021,3032,4793,0,415.61,0,0,4306,6673,531.7319226,0,0,19104,17870.41137,0,0
6/6/2021,3034,4796,0,414.76,0,0,4308,6676,530.2859261,0,0,20515,18975.36545,0,0
6/7/2021,3032,4793,0,430.14,0,0,4301,6665,529.73,0,0,22023,18765.49545,0,0
6/8/2021,3031,4791,0,420.7388953,0,0,4303,6669,501.7248088,0,0,22378,17843.03174,0,0
6/9/2021,3034,4796,0,421.5017081,0,0,4304,6670,505.2225587,0,0,23227,18166.30748,0,0
6/10/2021,3031,4791,0,420.3349487,0,0,4301,6665,506.5010628,0,0,20651,18139.47146,0,0
6/11/2021,3034,4796,0,421.7310919,0,0,4303,6669,497.5199154,0,0,21597,17220.22046,0,0
6/12/2021,3035,4797,0,408.98,0,0,4302,6667,500.98,38.34,0,23687,16254.05046,282.166,0
6/13/2021,3026,4783,0,423.64,0,0,4304,6670,490.55,55.2,0,25122,15339.86046,301.466,0
6/14/2021,3022,4777,0,417.6862703,0,0,4302,6667,482.19,61.65,0,21566,14439.98419,315.816,0
6/15/2021,1675,2228,420,192.3980292,0,0,4304,6670,480.7844102,65.718,0,20648,16139.39175,327.098,0
6/16/2021,3032,4313,480,419.3557039,0,0,4306,6673,461.3721086,94.92,0,21787,16158.66394,319.678,0
6/17/2021,3028,4626,160,418.0272808,0,0,4303,6669,450.7585065,107.152,0,17561,15739.87815,300.026,0
6/18/2021,3030,4310,480,415.03,0,0,4304,6670,452.53,0,0,18963,15672.31815,284.151,0
6/19/2021,3034,4316,480,420.42,0,0,4301,6665,447.8719091,123.916,0,20406,15704.02624,228.235,0
6/20/2021,3031,4311,480,427.8766196,0,0,4306,6673,457.1914108,113.16,0,21916,15868.95821,155.075,0
6/21/2021,3033,4434,360,428.7028671,0,0,4304,6670,460.7256936,0,0,21583,17391.67834,125.27,0
6/22/2021,3031,4431,360,427.1369185,0,0,4301,6665,466.2649931,97.326,0,21236,17498.27643,113.444,0
6/23/2021,3026,4303,480,423.9720165,0,0,4303,6669,486.3541562,67.07,0,22675,17437.95026,145.874,0
6/24/2021,3028,4586,200,430.49,0,0,4275,6625,488.92,56.94,0,19697,16518.54026,183.934,0
6/25/2021,3025,4302,480,434.92,0,0,4291,6650,471.55,87.717,0,21104,16512.07026,231.217,0
6/26/2021,3022,4297,480,434.24,0,0,4293,6653,473.03,83.4,0,22691,16654.80026,273.817,0
6/27/2021,3023,4298,480,434.31,0,0,4290,6648,476.35,79.98,0,24212,15744.14026,259.337,0
6/28/2021,3025,4422,360,435.35,0,0,4201,6511,520.3482962,0,0,22389,14788.44196,345.144,0
6/29/2021,3027,4515,270,436.66,0,0,4150,6431,514.33,0,0,22135,14151.81196,378.144,0
6/30/2021,3023,4418,360,436.46,0,0,4005,6207,499.7417407,0,0,24254,10683.07,385.379,0
7/1/2021,3012,4581,180,435.0975149,0,0,4069,6306,511.2552819,0,0,22426,13509.51712,385.379,0
7/2/2021,3018,4471,300,435.68,0,0,4202,6512,530.5992241,0,0,24006,12543.23541,385.379,0
7/3/2021,3002,4475,270,433.65,0,0,4201,6511,531.4861822,0,0,23849,12778.09923,385.379,0
7/4/2021,2930,4631,0,424.6020609,0,0,4203,6514,536.7269711,0,0,25633,11816.77019,385.379,0
7/5/2021,2935,4639,0,426.0177694,0,0,4201,6511,535.9884972,0,0,24620,10854.76393,385.379,0
7/6/2021,2005,3169,0,339.09,0,0,4203,6514,535.3251413,0,0,25255,11130.34728,385.379,0
7/7/2021,2650,3829,360,396.9621973,0,0,4210,6524,534.5771734,0,0,24109,11848.80791,385.379,0
7/8/2021,3002,4625,120,419.5855852,0,0,4215,6532,519.0134407,0,0,20570,11967.65889,385.379,0
7/9/2021,3004,4388,360,417.07,0,0,4231,6557,517.39,0,0,21651,12233.19889,407.379,0
7/10/2021,3014,4404,360,418.2,0,0,4242,6574,519.76,0,0,23315,11295.23889,407.379,0
7/11/2021,3030,4430,360,420.08,0,0,4302,6667,526.9,0,0,24766,10348.25889,407.379,0
7/12/2021,3001,4384,360,417.2122987,0,0,4335,6718,531.8845256,0,0,25830,10299.16206,407.379,0
7/13/2021,2960,4409,270,409.58,0,0,4301,6665,491.5,46.725,0,25429,11498.08206,338.654,0
7/14/2021,2920,4271,345,402.7199888,0,0,4260,6602,471.5,67.372,0,24920,10623.87206,271.282,0
7/15/2021,2929,4405,225,429.8720475,0,0,4202,6512,532.6878801,19.966,0,21091,10861.31213,345.316,0
7/16/2021,2915,4263,345,422.69,0,0,4102,6357,536.02,0,0,22597,10802.60213,399.316,0
7/17/2021,2890,4268,300,426.04,0,0,4010,6215,496.25,39.106,0,23696,11830.31213,360.21,0
7/18/2021,2905,4247,345,429.37,0,0,3940,6106,512.69,0,0,25664,11889.09213,360.21,0
7/19/2021,2901,4586,0,428.8644199,0,0,3932,6094,511.8150694,0,0,27960,12848.41265,366.663,0
7/20/2021,2905,4592,0,430.0731934,0,0,3926,6084,507.7852137,0,0,27932,13060.55424,366.663,0
7/21/2021,2880,4552,0,438.85,0,0,3860,5982,514.13,0,0,28549,13307.57424,366.663,0
7/22/2021,2825,4465,0,429.1265893,0,0,3850,5967,510.6319229,0,0,24916,13418.52573,366.663,0
7/23/2021,2822,4101,360,431.67,0,0,3845,5959,515.44,0,0,27206,14121.41573,366.663,0
7/24/2021,2852,4178,330,371.46,0,0,3810,5905,508.52,0,0,28512,13241.43573,366.663,0
7/25/2021,2859,4234,285,379.13,0,0,3802,5892,530.28,0,0,27836,12332.02573,366.663,0
7/26/2021,0,0,0,0,0,0,3804,5895,537.7345451,0,0,27778,14144.29118,366.663,0
7/27/2021,0,0,0,0,0,0,3920,6075,513.01,0,0,27636,14881.28118,366.663,0
7/28/2021,0,0,0,0,0,0,4201,6511,543.18,0,0,27224,14338.10118,366.663,0
7/29/2021,0,0,0,0,0,0,4217,6535,541.31,0,0,26146,13796.79118,366.663,0
7/30/2021,0,0,0,0,0,0,4102,6357,494.98,0,0,27759,7337.750543,320.298,0
7/31/2021,0,0,0,0,0,0,4112,6373,481.88,7.795,0,27439,6872.970543,252.618,0
8/1/2021,0,0,0,0,0,0,4089,6337,487.4,54.4,0,26767,17613.70054,198.218,0
8/2/2021,0,0,0,0,0,0,4001,6201,503.39,17.577,0,27124,17110.31054,180.641,0
8/3/2021,0,0,0,0,0,0,4004,6205,461.4124571,84.6,0,29013,16648.89809,96.041,0
8/4/2021,0,0,0,0,0,0,4005,6207,466.906724,75.58,0,26829,17231.99136,20.461,0
8/5/2021,0,0,0,0,0,0,4001,6201,523.42,0,0,28698,17858.48809,20.461,0
8/6/2021,0,0,0,0,0,0,4003,6204,523.22,0,0,26151,17335.26809,20.461,0
8/7/2021,0,0,0,0,0,0,0,0,0,0,0,26151,17333.98809,20.461,0
8/8/2021,0,0,0,0,0,0,0,0,0,0,0,26151,17335.26809,20.461,0
8/9/2021,0,0,0,0,0,0,0,0,0,0,0,26151,17335.26809,83.461,0
8/10/2021,0,0,0,0,0,0,0,0,0,0,0,26151,17335.26809,95.093,0
8/11/2021,0,0,0,0,0,0,0,0,0,0,0,26151,18035.26809,95.093,0
8/12/2021,0,0,0,0,0,0,0,0,0,0,0,26151,19085.26809,95.093,0
8/13/2021,0,0,0,0,0,0,0,0,0,0,0,26151,20085.26809,95.093,0
8/14/2021,0,0,0,0,0,0,0,0,0,0,0,26151,20085.26809,95.093,0
8/15/2021,,,,,,,,,,0,0,,,0,0
8/16/2021,0,0,0,0,0,0,625,969,95,0,0,25182,19990.26809,95.093,0
8/17/2021,0,0,0,0,0,0,3802,5892,499.86,0,0,26293,19490.40809,95.093,0
8/18/2021,0,0,0,0,0,0,3820,5920,428.4,14.56,0,26018,19062.00809,5.901,0
8/19/2021,0,0,0,0,0,0,3880,6013,510.82,0,0,25219,18551.18809,5.901,0
8/20/2021,0,0,0,0,0,0,3070,4758,406.64,0,0,27149,18144.54809,5.901,0
8/21/2021,0,0,0,0,0,0,3550,5502,522.08,0,0,24831,17622.46809,5.901,0
8/22/2021,0,0,0,0,0,0,4013,6219,527.44,0,0,26575,17095.02809,5.901,0
8/23/2021,0,0,0,0,0,0,4016,6224,530.42,0,0,21860,16564.60809,5.901,0
8/24/2021,0,0,0,0,0,0,4006,6208,528.18,0,0,23720,16036.42809,5.901,0
8/25/2021,0,0,0,0,0,0,4005,6207,528.99,0,0,25628,15507.25836,5.901,0
8/26/2021,0,0,0,0,0,0,4009,6213,528.5799852,0,0,27503,14978.67838,5.901,0
8/27/2021,0,0,0,0,0,0,4001,6201,531.88,0,0,26472,14499.77809,5.901,0
8/28/2021,0,0,0,0,0,0,3595,5571,499.36,0,0,27087,14000.41809,5.901,0
8/29/2021,0,0,0,0,0,0,3945,6114,524.99,0,0,29042,13475.42809,5.901,0
8/30/2021,0,0,0,0,0,0,4005,6207,539.1435407,0,0,27227,12841.68455,5.901,0
8/31/2021,0,0,0,0,0,0,4019,6228,541.7086922,0,0,28802,12299.97585,5.901,0
9/1/2021,0,0,0,0,0,0,4067,6303,563.18,0,0,25637,13604.79585,5.901,0
9/2/2021,0,0,0,0,0,0,3734,5787,526.8,0,0,26680,15127.99585,5.901,0
9/3/2021,0,0,0,0,0,0,4152,6435,548.38,0,0,28215,14579.61585,5.901,0
9/4/2021,0,0,0,0,0,0,4166,6456,547.97,0,0,28862,14031.64585,5.901,0
9/5/2021,0,0,0,0,0,0,3852,5970,513.36,0,0,27142,14668.28585,5.901,0
9/6/2021,0,0,0,0,0,0,4144,6422,547.5729476,0,0,28739,12970.71291,5.901,0
9/7/2021,0,0,0,0,0,0,4175,6470,551.0631744,0,0,29674,14369.64973,5.901,0
9/8/2021,0,0,0,0,0,0,4152,6435,563.5159717,0,0,30174,14256.13376,5.901,0
9/9/2021,0,0,0,0,0,0,4119,6383,556.5148551,0,0,25971,14799.6189,5.901,0
9/10/2021,0,0,0,0,0,0,4125,6393,558,0,0,27533,16091.6189,5.901,0
9/11/2021,0,0,0,0,0,0,4132,6404,554.04,0,0,27584,15537.5789,5.901,0
9/12/2021,0,0,0,0,0,0,4113,6374,551.24,0,0,29237,14986.3389,5.901,0
9/13/2021,0,0,0,0,0,0,4151,6433,555.2290935,0,0,28761,14431.10981,5.901,0
9/14/2021,0,0,0,0,0,0,4157,6442,557.41014,0,0,30365,14923.69967,5.901,0
9/15/2021,0,0,0,0,0,0,4144,6422,564.0091803,0,0,29803,15609.69049,5.901,0
9/16/2021,0,0,0,0,0,0,4147,6427,565.5665284,0,0,26560,16043.66306,5.901,0
9/17/2021,0,0,0,0,0,0,3962,6140,546.04,0,0,28030,15497.62306,5.901,0
9/18/2021,0,0,0,0,0,0,4141,6418,571.38,0,0,29147,16326.24306,5.901,0
9/19/2021,0,0,0,0,0,0,4134,6407,568.83,0,0,30759,15757.41306,5.901,0
9/20/2021,0,0,0,0,0,0,4114,6376,570.5494289,0,0,27608,15186.86363,5.901,0
9/21/2021,0,0,0,0,0,0,4139,6414,569.8829109,0,0,29144,14616.98072,5.901,0
9/22/2021,0,0,0,0,0,0,4103,6359,554.7308723,0,0,30550,14062.24984,5.901,0
9/23/2021,0,0,0,0,0,0,4096,6348,556.6382058,0,0,27026,13537.57398,5.901,0
9/24/2021,0,0,0,0,0,0,3912,6063,536.03,0,0,28398,13001.54398,5.901,0
9/25/2021,0,0,0,0,0,0,4001,6201,545.43,0,0,30095,12456.11398,5.901,0
9/26/2021,0,0,0,0,0,0,4012,6218,548.55,0,0,29182,11907.56398,5.901,0
