Ngay,Nhiet_Do_C,Luong_Mua_mm,Suc_Gio_kmh,Bao,So_Ngay_Tre,Diem_Rui_Ro
2024-03-24,28.2,0.0,21.0,0,0,0.8
2024-03-25,23.4,0.0,8.1,0,0,1.2
2024-03-26,29.4,0.0,11.5,0,0,1.3
2024-03-27,30.2,0.0,13.6,0,0,0.6
2024-03-28,32.3,0.0,11.1,0,0,1.7
2024-03-29,32.2,56.3,34.9,0,1,4.6
2024-03-30,22.5,0.0,10.7,0,0,1.7
2024-03-31,24.2,0.0,12.2,0,0,1.8
2024-04-01,30.1,0.0,16.0,0,0,1.3
2024-04-02,30.1,0.0,9.0,0,0,1.9
2024-04-03,30.1,0.0,13.0,0,0,1.3
2024-04-04,40.0,0.0,16.6,0,0,1.5
2024-04-05,30.3,10.8,15.5,0,0,0.5
2024-04-06,32.5,0.0,14.5,0,0,1.9
2024-04-07,31.8,0.0,12.4,0,0,1.8
2024-04-08,30.6,8.5,9.1,0,0,0.6
2024-04-09,26.7,19.9,20.6,0,0,1.2
2024-04-10,31.0,0.0,23.8,0,0,2.5
2024-04-11,24.9,0.0,15.1,0,0,1.3
2024-04-12,27.1,0.0,16.1,0,0,1.5
2024-04-13,26.1,95.0,37.5,0,1,5.8
2024-04-14,28.3,85.8,25.8,0,1,5.3
2024-04-15,37.3,0.0,23.5,0,0,2.2
2024-04-16,20.5,142.4,44.5,0,3,9.7
2024-04-17,30.7,0.0,23.2,0,0,1.9
2024-04-18,21.5,0.0,11.3,0,0,0.7
2024-04-19,26.1,0.0,24.1,0,0,2.2
2024-04-20,32.4,13.7,21.6,0,0,1.5
2024-04-21,28.3,0.0,17.8,0,0,0.6
2024-04-22,23.7,6.5,17.5,0,0,1.6
2024-04-23,25.1,4.6,14.7,0,0,1.3
2024-04-24,30.7,29.2,26.8,0,0,2.3
2024-04-25,25.1,0.0,15.7,0,0,0.9
2024-04-26,28.9,0.0,5.2,0,0,2.2
2024-04-27,28.2,0.0,9.4,0,0,1.6
2024-04-28,25.4,0.0,14.1,0,0,0.6
2024-04-29,36.6,0.0,16.5,0,0,2.4
2024-04-30,30.5,14.7,17.7,0,0,1.5
2024-05-01,19.9,0.0,21.1,0,0,1.1
2024-05-02,28.7,0.0,5.2,0,0,1.4
2024-05-03,25.4,0.0,15.7,0,0,2.2
2024-05-04,31.4,0.0,5.9,0,0,1.1
2024-05-05,24.8,0.0,18.8,0,0,0.9
2024-05-06,27.5,0.0,14.5,0,0,0.8
2024-05-07,30.0,66.3,30.3,0,1,4.7
2024-05-08,31.5,0.0,10.7,0,0,1.4
2024-05-09,23.2,1.9,21.8,0,0,1.0
2024-05-10,26.7,4.8,21.2,0,0,0.8
2024-05-11,26.1,0.0,17.9,0,0,1.2
2024-05-12,25.4,29.9,20.3,0,0,2.4
2024-05-13,35.1,0.0,17.9,0,0,1.2
2024-05-14,29.6,4.3,12.3,0,0,2.5
2024-05-15,23.0,0.0,19.3,0,0,1.5
2024-05-16,31.7,22.6,27.8,0,0,0.9
2024-05-17,36.5,8.3,22.0,0,0,2.3
2024-05-18,32.1,20.8,15.5,0,0,1.4
2024-05-19,21.9,34.1,23.6,0,1,5.9
2024-05-20,26.1,0.0,8.5,0,0,0.6
2024-05-21,33.1,0.0,17.9,0,0,0.7
2024-05-22,25.2,0.0,17.3,0,0,1.9
2024-05-23,29.8,0.0,5.7,0,0,1.1
2024-05-24,31.1,0.0,9.2,0,0,0.9
2024-05-25,24.3,0.0,13.6,0,0,0.6
2024-05-26,27.8,1.3,13.8,0,0,0.5
2024-05-27,15.0,0.0,9.0,0,0,2.0
2024-05-28,23.9,17.7,20.5,0,0,0.8
2024-05-29,27.0,0.0,16.3,0,0,1.4
2024-05-30,23.0,1.5,14.3,0,0,1.7
2024-05-31,34.5,55.7,22.4,0,1,3.4
2024-06-01,22.3,0.0,20.2,0,0,2.1
2024-06-02,26.2,0.0,23.3,0,0,0.5
2024-06-03,28.5,57.7,24.1,0,1,5.8
2024-06-04,33.8,0.0,11.9,0,0,1.4
2024-06-05,22.3,0.0,17.5,0,0,1.6
2024-06-06,32.7,0.0,13.2,0,0,1.5
2024-06-07,28.0,0.0,14.3,0,0,1.3
2024-06-08,24.1,0.0,18.7,0,0,2.3
2024-06-09,29.8,0.0,5.5,0,0,2.3
2024-06-10,28.8,0.0,21.6,0,0,1.2
2024-06-11,25.6,0.0,15.4,0,0,1.7
2024-06-12,28.3,9.0,14.7,0,0,2.4
2024-06-13,26.5,0.0,14.6,0,0,2.4
2024-06-14,28.5,27.0,20.2,0,0,1.5
2024-06-15,30.6,0.0,6.3,0,0,1.4
2024-06-16,34.3,0.0,22.5,0,0,1.1
2024-06-17,23.0,0.0,15.2,0,0,2.4
2024-06-18,36.5,0.0,17.2,0,0,0.8
2024-06-19,20.2,0.0,19.8,0,0,1.7
2024-06-20,27.4,0.0,9.9,0,0,1.1
2024-06-21,30.4,0.0,17.4,0,0,1.1
2024-06-22,29.1,0.0,13.7,0,0,1.3
2024-06-23,25.5,0.0,19.2,0,0,2.5
2024-06-24,27.2,0.0,4.4,0,0,0.6
2024-06-25,26.0,0.0,14.5,0,0,1.7
2024-06-26,25.6,5.3,13.0,0,0,0.7
2024-06-27,31.4,0.0,17.2,0,0,0.8
2024-06-28,29.4,0.0,17.4,0,0,1.4
2024-06-29,25.2,8.5,13.2,0,0,1.5
2024-06-30,31.6,0.0,11.4,0,0,1.0
2024-07-01,29.2,0.0,14.4,0,0,1.1
2024-07-02,31.3,5.3,11.6,0,0,0.7
2024-07-03,30.5,0.0,19.2,0,0,1.1
2024-07-04,24.7,0.0,13.2,0,0,2.4
2024-07-05,25.8,0.0,0.5,0,0,2.4
2024-07-06,31.0,0.0,13.1,0,0,1.2
2024-07-07,30.4,0.0,9.8,0,0,1.6
2024-07-08,27.9,0.0,6.8,0,0,2.3
2024-07-09,28.5,0.0,8.8,0,0,0.5
2024-07-10,33.1,0.0,15.5,0,0,2.1
2024-07-11,25.6,30.2,27.7,0,1,4.6
2024-07-12,30.2,7.5,18.1,0,0,0.8
2024-07-13,27.2,0.0,12.0,0,0,2.4
2024-07-14,27.1,0.0,17.3,0,0,1.6
2024-07-15,32.4,0.0,12.7,0,0,0.5
2024-07-16,31.3,0.0,11.5,0,0,1.0
2024-07-17,31.3,0.0,9.2,0,0,1.4
2024-07-18,33.2,0.0,6.2,0,0,1.9
2024-07-19,28.1,19.7,17.0,0,0,2.0
2024-07-20,30.7,0.0,15.8,0,0,2.5
2024-07-21,26.8,0.0,14.5,0,0,1.1
2024-07-22,29.3,0.0,12.9,0,0,1.6
2024-07-23,27.5,0.0,10.3,0,0,1.6
2024-07-24,28.4,75.6,33.2,0,1,3.6
2024-07-25,30.4,150.0,38.4,0,2,8.7
2024-07-26,24.7,1.4,19.2,0,0,1.7
2024-07-27,36.4,0.0,10.0,0,0,1.0
2024-07-28,24.0,0.0,11.2,0,0,1.6
2024-07-29,23.1,0.0,7.7,0,0,1.9
2024-07-30,32.6,0.0,12.5,0,0,1.5
2024-07-31,31.2,0.0,19.9,0,0,2.5
2024-08-01,30.5,90.4,35.7,0,1,4.5
2024-08-02,30.5,0.0,19.9,0,0,2.0
2024-08-03,28.0,0.0,17.6,0,0,0.8
2024-08-04,24.4,0.0,9.5,0,0,1.3
2024-08-05,28.3,0.0,13.3,0,0,1.2
2024-08-06,25.3,0.0,11.1,0,0,1.4
2024-08-07,31.9,13.3,24.3,0,0,2.1
2024-08-08,27.4,32.1,15.4,0,1,5.1
2024-08-09,24.7,8.2,21.1,0,0,1.7
2024-08-10,26.7,0.0,19.5,0,0,1.2
2024-08-11,29.7,0.0,24.1,0,0,2.1
2024-08-12,25.7,0.0,13.0,0,0,1.0
2024-08-13,24.7,0.0,18.6,0,0,0.9
2024-08-14,29.0,7.5,27.9,0,0,1.5
2024-08-15,29.0,0.0,11.9,0,0,1.0
2024-08-16,26.0,0.0,7.3,0,0,0.5
2024-08-17,26.1,0.0,5.6,0,0,1.8
2024-08-18,28.9,0.0,18.6,0,0,1.5
2024-08-19,22.2,10.0,7.6,0,0,1.4
2024-08-20,22.4,0.0,13.1,0,0,2.4
2024-08-21,25.1,0.0,17.2,0,0,1.6
2024-08-22,27.1,0.0,15.9,0,0,2.2
2024-08-23,29.2,0.0,17.1,0,0,0.8
2024-08-24,33.9,21.8,20.5,0,0,1.6
2024-08-25,31.4,42.7,29.9,0,1,5.4
2024-08-26,27.4,10.0,12.2,0,0,1.9
2024-08-27,27.9,13.1,14.2,0,0,1.2
2024-08-28,24.0,0.0,11.1,0,0,0.7
2024-08-29,27.9,0.0,19.2,0,0,1.4
2024-08-30,26.8,0.0,19.5,0,0,1.3
2024-08-31,29.3,0.0,17.3,0,0,2.2
2024-09-01,24.7,45.5,30.0,0,1,4.9
2024-09-02,30.1,0.0,9.1,0,0,2.4
2024-09-03,34.1,20.6,27.5,0,0,1.0
2024-09-04,27.6,0.0,22.6,0,0,1.2
2024-09-05,29.6,0.0,18.7,0,0,2.3
2024-09-06,30.8,0.0,23.9,0,0,2.4
2024-09-07,26.4,12.1,9.1,0,0,1.4
2024-09-08,28.9,0.0,12.4,0,0,1.1
2024-09-09,28.1,0.0,11.3,0,0,1.6
2024-09-10,28.4,0.0,18.6,0,0,1.9
2024-09-11,24.9,0.0,9.7,0,0,1.0
2024-09-12,28.1,0.0,18.8,0,0,2.0
2024-09-13,30.0,21.2,26.1,0,0,0.6
2024-09-14,33.8,0.0,18.5,0,0,0.6
2024-09-15,31.8,0.0,16.4,0,0,1.3
2024-09-16,36.6,0.0,10.1,0,0,1.2
2024-09-17,24.9,0.0,10.8,0,0,1.1
2024-09-18,31.5,35.5,28.3,0,1,4.1
2024-09-19,28.7,0.0,18.9,0,0,0.9
2024-09-20,36.8,0.0,14.8,0,0,1.1
2024-09-21,24.8,0.0,12.9,0,0,2.4
2024-09-22,24.6,62.6,17.4,0,1,4.2
2024-09-23,25.6,23.2,14.3,0,0,1.7
2024-09-24,19.5,0.0,24.6,0,0,2.5
2024-09-25,25.9,0.0,8.6,0,0,1.0
2024-09-26,25.0,0.0,15.9,0,0,1.9
2024-09-27,28.6,4.1,20.9,0,0,1.9
2024-09-28,29.4,0.0,8.7,0,0,1.7
2024-09-29,35.5,0.0,15.9,0,0,0.7
2024-09-30,31.8,0.0,19.7,0,0,1.9
2024-10-01,25.7,0.0,15.1,0,0,0.6
2024-10-02,24.4,0.0,29.3,0,0,1.7
2024-10-03,30.0,108.4,28.3,0,2,7.2
2024-10-04,22.7,0.0,20.3,0,0,0.6
2024-10-05,35.3,0.0,14.1,0,0,2.2
2024-10-06,32.7,0.0,18.9,0,0,1.4
2024-10-07,26.1,7.9,18.8,0,0,0.9
2024-10-08,21.1,0.0,11.3,0,0,0.8
2024-10-09,33.4,39.2,24.0,0,1,4.6
2024-10-10,27.5,0.0,5.7,0,0,0.9
2024-10-11,33.0,0.0,18.0,0,0,1.2
2024-10-12,21.6,0.0,16.5,0,0,1.7
2024-10-13,25.6,0.0,18.2,0,0,1.6
2024-10-14,28.0,0.0,20.3,0,0,0.8
2024-10-15,28.2,16.5,20.1,0,0,1.1
2024-10-16,26.2,0.0,15.7,0,0,1.0
2024-10-17,30.5,0.0,10.6,0,0,0.9
2024-10-18,23.7,0.0,11.4,0,0,1.3
2024-10-19,27.4,50.9,31.1,0,1,4.3
2024-10-20,28.5,6.0,23.4,0,0,1.2
2024-10-21,30.1,0.0,13.8,0,0,1.3
2024-10-22,30.8,69.7,29.2,0,1,6.4
2024-10-23,23.5,0.0,10.5,0,0,2.1
2024-10-24,21.9,0.0,20.9,0,0,1.0
2024-10-25,33.1,42.1,26.7,0,1,3.3
2024-10-26,29.3,15.0,27.7,0,0,1.0
2024-10-27,25.0,0.0,10.6,0,0,1.5
2024-10-28,34.2,0.0,13.1,0,0,2.1
2024-10-29,28.5,0.0,16.2,0,0,2.2
2024-10-30,32.7,23.6,23.0,0,0,2.2
2024-10-31,28.3,0.0,13.9,0,0,1.2
2024-11-01,36.2,0.0,10.6,0,0,1.9
2024-11-02,35.0,0.0,19.4,0,0,1.1
2024-11-03,27.0,0.0,18.6,0,0,0.6
2024-11-04,31.9,0.0,10.4,0,0,1.9
2024-11-05,30.6,1.3,22.0,0,0,0.5
2024-11-06,33.5,0.0,20.9,0,0,1.3
2024-11-07,24.1,0.0,15.7,0,0,1.2
2024-11-08,30.7,0.0,15.4,0,0,1.9
2024-11-09,32.2,37.6,25.3,0,1,4.6
2024-11-10,21.0,0.0,10.7,0,0,2.1
2024-11-11,23.3,0.0,15.2,0,0,1.1
2024-11-12,19.8,21.6,8.6,0,0,1.4
2024-11-13,26.9,21.3,23.6,0,0,2.0
2024-11-14,30.9,13.8,10.0,0,0,1.9
2024-11-15,34.0,81.1,38.7,0,1,4.9
2024-11-16,28.3,0.0,13.3,0,0,1.8
2024-11-17,34.5,35.8,21.1,0,1,5.5
2024-11-18,22.5,0.0,11.9,0,0,0.8
2024-11-19,21.2,18.6,17.3,0,0,2.0
2024-11-20,27.8,76.1,37.3,0,1,4.2
2024-11-21,29.5,35.6,9.7,0,1,4.1
2024-11-22,27.9,0.0,21.4,0,0,1.7
2024-11-23,19.7,0.0,16.7,0,0,2.3
2024-11-24,27.6,0.0,9.0,0,0,1.6
2024-11-25,22.8,49.4,19.5,0,1,4.8
2024-11-26,30.7,6.5,24.7,0,0,0.6
2024-11-27,29.5,0.0,10.3,0,0,1.0
2024-11-28,24.2,0.0,9.2,0,0,1.5
2024-11-29,25.9,0.0,20.7,0,0,1.1
2024-11-30,23.8,58.3,28.3,0,1,3.9
2024-12-01,27.7,36.2,17.6,0,1,3.7
2024-12-02,31.8,0.0,16.1,0,0,1.4
2024-12-03,24.1,0.0,9.9,0,0,0.8
2024-12-04,30.0,88.2,38.1,0,1,6.1
2024-12-05,25.9,20.6,24.4,0,0,1.9
2024-12-06,24.8,0.0,17.7,0,0,0.7
2024-12-07,27.6,0.0,16.8,0,0,2.1
2024-12-08,23.9,0.0,23.8,0,0,2.1
2024-12-09,25.8,0.0,15.0,0,0,2.0
2024-12-10,23.2,0.0,9.1,0,0,0.7
2024-12-11,35.9,0.0,17.2,0,0,1.8
2024-12-12,28.1,54.8,36.4,0,1,5.3
2024-12-13,25.2,0.0,9.9,0,0,1.8
2024-12-14,28.9,36.5,20.5,0,1,4.5
2024-12-15,27.6,0.0,17.1,0,0,0.6
2024-12-16,27.1,0.0,14.7,0,0,1.8
2024-12-17,30.5,0.0,10.1,0,0,0.7
2024-12-18,31.0,0.0,20.6,0,0,1.4
2024-12-19,25.9,51.0,36.8,0,1,4.2
2024-12-20,25.7,23.7,20.7,0,0,0.8
2024-12-21,26.9,0.0,10.5,0,0,1.9
2024-12-22,18.8,0.0,7.3,0,0,2.1
2024-12-23,21.9,21.1,20.5,0,0,0.8
2024-12-24,33.5,0.0,20.5,0,0,0.7
2024-12-25,34.6,0.0,17.4,0,0,0.8
2024-12-26,27.0,5.9,16.2,0,0,2.3
2024-12-27,30.3,0.0,12.1,0,0,1.6
2024-12-28,29.2,0.0,9.5,0,0,1.4
2024-12-29,40.0,0.0,19.2,0,0,0.7
2024-12-30,32.5,4.2,20.4,0,0,1.8
2024-12-31,27.5,0.0,7.3,0,0,2.2
2025-01-01,24.2,0.0,22.9,0,0,2.2
2025-01-02,21.6,11.1,20.1,0,0,1.8
2025-01-03,28.8,0.0,22.0,0,0,0.7
2025-01-04,25.0,61.5,20.6,0,1,2.8
2025-01-05,22.3,0.0,8.2,0,0,1.0
2025-01-06,25.4,47.8,23.8,0,1,3.3
2025-01-07,23.7,0.0,17.5,0,0,1.3
2025-01-08,34.7,0.0,24.0,0,0,2.4
2025-01-09,31.5,0.0,18.5,0,0,1.7
2025-01-10,28.0,0.0,13.8,0,0,2.2
2025-01-11,33.9,71.0,24.1,0,1,4.1
2025-01-12,28.3,0.4,21.2,0,0,2.0
2025-01-13,24.6,0.0,10.2,0,0,1.1
2025-01-14,34.1,0.0,23.1,0,0,1.8
2025-01-15,30.2,23.9,18.4,0,0,1.2
2025-01-16,23.9,10.2,25.0,0,0,2.5
2025-01-17,27.2,0.0,18.4,0,0,1.0
2025-01-18,24.5,0.0,14.3,0,0,1.1
2025-01-19,22.5,0.0,12.4,0,0,2.4
2025-01-20,31.7,0.0,13.3,0,0,0.5
2025-01-21,35.6,0.0,17.1,0,0,1.9
2025-01-22,22.4,0.0,15.4,0,0,2.0
2025-01-23,30.3,0.0,12.0,0,0,2.2
2025-01-24,25.4,45.9,23.4,0,1,6.4
2025-01-25,26.1,0.0,15.4,0,0,0.6
2025-01-26,25.6,0.0,4.4,0,0,2.1
2025-01-27,24.5,0.0,17.3,0,0,1.8
2025-01-28,28.2,0.0,10.1,0,0,1.8
2025-01-29,24.7,0.0,9.2,0,0,0.8
2025-01-30,29.1,0.0,6.6,0,0,1.8
2025-01-31,27.8,0.0,6.0,0,0,2.5
2025-02-01,27.0,0.0,8.2,0,0,2.3
